total deviance | predicted | actual
0.008322729812833267 | 0.4202526,0.38118905,0.83216494 | 0.41361877978256006,0.37802142091673563,0.8282628268486268
0.007619369961522499 | 0.92137444,0.3524641,0.16902223 | 0.9226180197483398,0.34541898210250427,0.17164415643686182
0.015433934262705704 | 0.10820618,0.9693244,0.2280344 | 0.12072273194975412,0.9682112126047085,0.2190732064336204
0.018596579673605684 | 0.5919683,0.8103493,0.0029230413 | 0.5985326634450199,0.800906421947334,0.01753721964650344
0.005386907453366818 | 0.38602906,0.7874084,0.48947653 | 0.38321787152121933,0.7860187400716885,0.48509648854930065
0.023440224426886414 | 0.8091765,0.4092242,0.42655292 | 0.8208562722748389,0.39273357740322656,0.4146749539665006
0.017575880881253864 | 0.92345667,0.366932,0.09650591 | 0.9297517300701748,0.35889410325497223,0.08219941046215715
0.005413750629840259 | 0.22100703,0.97184056,0.115807086 | 0.2240989233153295,0.9675309104227338,0.11689144513379128
0.017448771718102905 | 0.047356054,0.9664621,0.25679448 | 0.053031425468718925,0.9691938602777066,0.2405222008729191
0.012376277067944539 | 0.14990011,0.60409504,0.7853208 | 0.16072454986907977,0.5980974144756852,0.7851414534126206
0.043964371998094526 | 0.0721176,0.585856,0.81056696 | 0.03268257009262613,0.569623480683151,0.8212557091835361
0.011096224527005387 | 0.94897383,0.1464077,0.28495517 | 0.9460655216372529,0.13896773410035884,0.29265679156350477
0.00735663975454339 | 0.45121282,0.7700576,0.4573411 | 0.44440576259493386,0.7688024963004805,0.4598328390345398
0.012591959132460194 | 0.7517743,0.49339202,0.4437178 | 0.7572889466880286,0.4884118502129553,0.43355197588719824
0.010247713520546228 | 0.6919012,0.699064,0.20065609 | 0.6913030821457565,0.691971270026058,0.2080283876645244
0.019266957485900186 | 0.7539901,0.014945621,0.6630164 | 0.7383450670737846,0.01481072359835097,0.674260487048071
0.0156215953862632 | 0.9933766,0.12139831,0.034724563 | 0.9928864531834385,0.11743717015260088,0.019621471692018645
0.002987201491324625 | 0.72479403,0.5296034,0.44640192 | 0.7227602913207397,0.5274234778511265,0.446589337424643
0.02551136594711677 | 0.76817054,0.21061957,0.6119494 | 0.7688827516111859,0.18511820793451444,0.6120053622035719
0.006658436056663129 | 0.4945935,0.7603607,0.4289892 | 0.4977332975986151,0.7547041136928748,0.427414629179513
0.015355367823432648 | 0.6870377,0.48350403,0.55005294 | 0.6868596931429223,0.4690331642201575,0.5551861424758704
0.00975983853118894 | 0.24258418,0.73976076,0.6342403 | 0.23559752819378704,0.7336886953521439,0.6373340592039991
0.0077324344333811025 | 0.5873661,0.32342637,0.74963075 | 0.5836404427966958,0.3263792953319612,0.7435323726043739
0.005361926673474994 | 0.31460184,0.7834168,0.5446905 | 0.3121274501661897,0.7786779922364678,0.5442766201660109
